id,session_date,duration_min,power,ftp_valid,tss_before,tss_recomputed,diff,if_before,if_recomputed
213,2025-11-23,41,346,250,131,131,0,1.384,1.384
211,2026-01-03,76,324,250,213,213,0,1.296,1.296
212,2026-01-03,105,173,250,84,84,0,0.692,0.692
210,2026-04-06,75,177,250,63,63,0,0.708,0.708
209,2026-04-09,71,167,250,53,53,0,0.668,0.668
208,2026-04-17,65,327,250,185,185,0,1.308,1.308
207,2026-04-23,90,289,250,200,200,0,1.156,1.156
206,2026-05-10,81,307,250,204,204,0,1.228,1.228
205,2026-05-25,75,331,250,219,219,0,1.324,1.324
203,2026-05-28,64,304,250,158,158,0,1.216,1.216
201,2026-06-20,129,296,250,301,301,0,1.184,1.184
